"country","threatened_species","species_below_30","species_zero_protection","mean_protected_percent","median_protected_percent"
"Madagascar",126,94,22,20.94,12.77
"Cameroon",50,48,9,8.32,5.42
"Dem. Rep. Congo",48,38,5,21.19,11.44
"Tanzania",42,31,10,18.60,8.22
"Ethiopia",42,30,6,25.06,16.18
"Guinea",31,26,0,24.51,17.68
"Kenya",32,26,1,23.11,10.93
"Liberia",26,26,3,4.39,2.81
"Côte d'Ivoire",31,25,0,20.66,14.00
"South Africa",27,25,3,9.01,4.77
"Nigeria",35,21,0,28.90,17.22
"Sierra Leone",22,20,0,8.35,4.85
"S. Sudan",19,18,0,16.32,14.98
"Angola",19,17,5,15.62,5.64
"Chad",18,17,3,12.33,10.93
"Ghana",20,17,0,20.44,18.63
"Central African Rep.",19,16,0,18.94,13.65
"Eq. Guinea",22,16,1,29.43,12.03
"Congo",23,15,4,24.42,27.11
"Gabon",15,14,1,14.75,15.07
"Mali",16,14,5,14.18,7.72
"Senegal",16,14,0,18.05,11.35
"Somalia",16,14,7,9.69,0.02
"Burundi",17,13,0,23.64,5.60
"Eritrea",13,13,13,0.00,0.00
"Guinea-Bissau",13,13,2,8.15,7.29
"Mozambique",13,12,3,13.54,9.70
"Rwanda",25,12,1,37.25,30.10
"Uganda",31,12,0,44.27,35.80
"Djibouti",11,11,11,0.00,0.00
"eSwatini",12,11,3,9.27,3.53
"Somaliland",11,11,11,0.00,0.00
"Benin",13,10,1,34.07,24.71
"Mauritania",10,10,3,0.04,0.03
"Namibia",10,10,0,11.39,12.44
"Togo",11,10,0,13.01,9.41
"Botswana",10,9,1,19.89,18.68
"Burkina Faso",13,9,2,29.94,12.41
"Niger",16,9,0,39.42,27.33
"Lesotho",8,8,1,15.29,19.95
"Malawi",9,7,0,32.02,18.92
"Zimbabwe",9,7,0,22.93,14.94
"Gambia",6,6,2,0.11,0.14
"Comoros",4,4,1,0.56,0.74
"Zambia",13,3,0,46.58,36.60
"São Tomé and Principe",3,2,0,27.66,28.62
