"id_no","sci_name","category","range_km2","protected_km2","protected_percent"
62007,"Amblysomus marleyi","EN",1408.21,0.00,0.00
1141,"Ammodorcas clarkei","VU",94179.71,0.00,0.00
136767,"Avahi betsileo","EN",975.95,0.00,0.00
41579,"Avahi unicolor","CR",582.23,0.00,0.00
92401376,"Cercopithecus lomamiensis","VU",19739.44,0.00,0.00
163022885,"Cheirogaleus thomasi","EN",103.39,0.00,0.00
136343,"Congosorex phillipsorum","CR",86.18,0.00,0.00
5565,"Crocidura eisentrauti","VU",366.16,0.00,0.00
5575,"Crocidura manengubae","VU",5815.30,0.00,0.00
112503346,"Crocidura mdumai","EN",1445.02,0.00,0.00
5580,"Crocidura phaeura","EN",902.98,0.00,0.00
5748,"Cryptochloris wintoni","CR",6.45,0.00,0.00
5749,"Cryptochloris zyli","EN",2093.49,0.00,0.00
6793,"Dorcatragus megalotis","VU",52078.41,0.00,0.00
167462770,"Fukomys hanangensis","EN",649.63,0.00,0.00
8975,"Gazella spekei","EN",181615.51,0.00,0.00
116989865,"Hybomys badius","EN",535.58,0.00,0.00
10714,"Hypogeomys antimena","CR",194.69,0.00,0.00
136376,"Lepilemur aeeclis","EN",362.72,0.00,0.00
136843,"Lepilemur ahmansoni","CR",282.89,0.00,0.00
136662,"Lepilemur betsileo","EN",2197.49,0.00,0.00
136771,"Lepilemur grewcockorum","CR",140.10,0.00,0.00
136796,"Lepilemur otto","EN",3506.42,0.00,0.00
136645,"Lepilemur sahamalaza","CR",422.64,0.00,0.00
11622,"Lepilemur septentrionalis","CR",140.16,0.00,0.00
136709,"Lepilemur tymerlachsoni","CR",47.54,0.00,0.00
47992974,"Lophuromys chercherensis","EN",131.06,0.00,0.00
136619,"Lophuromys eisentrauti","CR",56.25,0.00,0.00
41573,"Microcebus berthae","CR",549.26,0.00,0.00
163313085,"Microcebus ganzhorni","EN",134.21,0.00,0.00
16971461,"Microcebus gerpi","CR",20.79,0.00,0.00
136458,"Microcebus jollyae","EN",157.61,0.00,0.00
16971425,"Microcebus macarthurii","EN",675.50,0.00,0.00
136206,"Microcebus mamiratra","EN",130.50,0.00,0.00
163313848,"Microcebus manitatra","CR",25.49,0.00,0.00
16971364,"Microcebus margotmarshae","EN",908.45,0.00,0.00
46251646,"Microcebus marohita","CR",28.56,0.00,0.00
14107,"Myosorex geata","EN",466.36,0.00,0.00
45047,"Myosorex kihaulei","EN",1626.02,0.00,0.00
14113,"Myosorex rumpii","EN",255.82,0.00,0.00
45071,"Otomys burtoni","EN",386.41,0.00,0.00
48008221,"Otomys cheesmani","CR",6241.17,0.00,0.00
40652,"Paragalago rondoensis","EN",127.62,0.00,0.00
16212,"Paraxerus vincenti","EN",2231.71,0.00,0.00
18252,"Piliocolobus foai","EN",1952.30,0.00,0.00
41025,"Piliocolobus pennantii","CR",161.26,0.00,0.00
18352,"Propithecus tattersalli","CR",1783.60,0.00,0.00
18732,"Pteropus livingstonii","EN",241.54,0.00,0.00
64588047,"Rhinolophus mabuensis","EN",22180.06,0.00,0.00
136224,"Suncus aequatorius","EN",494.55,0.00,0.00
21221,"Sylvisorex morio","EN",447.41,0.00,0.00
136537,"Microcebus bongolavensis","EN",793.42,0.43,0.05
18356,"Propithecus coronatus","CR",45445.79,35.14,0.08
40648,"Piliocolobus parmentieri","EN",19228.41,23.84,0.12
4828,"Chrysospalax trevelyani","EN",40185.10,51.03,0.13
18113,"Praomys hartwigi","VU",7861.11,10.13,0.13
5636,"Crocidura picea","EN",6227.79,10.13,0.16
18768,"Pteropus voeltzkowi","VU",844.82,1.86,0.22
14112,"Myosorex okuensis","VU",4154.00,10.13,0.24
116990322,"Hybomys eisentrauti","EN",3215.38,10.13,0.32
110660763,"Myosorex cafer","VU",65019.61,221.64,0.34
5624,"Crocidura desperata","VU",16999.42,69.07,0.41
4216,"Chlorocebus dryas","EN",41366.95,180.22,0.44
11621,"Lepilemur ruficaudatus","CR",15759.75,102.08,0.65
19757,"Rousettus obliviosus","VU",1595.50,11.50,0.72
8991,"Eudorcas tilonura","EN",18456.73,137.10,0.74
4318,"Mops pusillus","VU",1518.20,11.50,0.76
110662121,"Myosorex tenuis","EN",4392.10,34.71,0.79
163024481,"Microcebus tanosi","EN",763.66,7.85,1.03
165925,"Voalavo antsahabensis","EN",301.11,3.16,1.05
67359375,"Pseudoromicia roseveari","EN",771.32,9.61,1.25
163022131,"Cheirogaleus lavasoensis","EN",70.73,0.94,1.33
136791,"Rungwecebus kipunji","EN",71.52,0.95,1.33
8211,"Eulemur flavifrons","CR",2398.97,35.30,1.47
136609,"Lepilemur milanoii","EN",2582.35,43.73,1.69
19549,"Rhinolophus maclaudi","EN",8230.25,180.08,2.19
11202,"Lamottemys okuensis","EN",442.73,10.13,2.29
1087,"Neamblysomus gunningi","EN",9765.11,225.46,2.31
45054,"Hylomyscus grandis","EN",425.12,10.13,2.38
4829,"Chrysospalax villosus","VU",44638.13,1073.56,2.41
39992,"Piliocolobus kirkii","EN",1520.96,37.04,2.44
45056,"Lophuromys dieterleni","EN",403.38,10.13,2.51
216617275,"Myotis nimbaensis","CR",2.68,0.07,2.55
14114,"Myosorex sclateri","VU",20684.49,568.88,2.75
13572,"Miopithecus talapoin","VU",401646.26,11746.89,2.92
16873,"Phaner parienti","EN",1850.12,54.85,2.96
3326,"Bunolagus monticularis","CR",45605.63,1372.69,3.01
9459,"Grammomys minnae","VU",10994.43,344.64,3.13
